Date,USD/INR,Gold,Nifty,
"Aug 01, 2019",69.017,35134,10980,Monday
"Aug 02, 2019",69.7,35705,10997.35,Tuesday
"Aug 05, 2019",70.821,36711,10862.6,Wednesday
"Aug 06, 2019",71.04,37182,10948.25,Thursday
"Aug 07, 2019",71.145,37899,10855.5,Friday
"Aug 08, 2019",70.42,37311,11032.45,Saturday
"Aug 09, 2019",70.924,37558,11109.65,Sunday
"Aug 12, 2019",71.283,37812,10925.85,Monday
"Aug 13, 2019",71.418,37268,10925.85,Tuesday
"Aug 14, 2019",71.275,37688,11029.4,Wednesday
"Aug 15, 2019",71.81,37487,11047.8,Thursday
"Aug 16, 2019",71.155,37487,11047.8,Friday
"Aug 19, 2019",71.451,37484,11053.9,Saturday
"Aug 20, 2019",71.549,37640,11017,Sunday
"Aug 21, 2019",71.439,37598,10918.7,Monday
"Aug 22, 2019",71.93,37779,10741.35,Tuesday
"Aug 23, 2019",71.513,38357,10829.35,Wednesday
"Aug 26, 2019",72.025,38415,11057.85,Thursday
"Aug 27, 2019",71.543,38644,11105.35,Friday
"Aug 28, 2019",71.829,38772,11046.1,Saturday
"Aug 29, 2019",71.69,38426,10948.3,Sunday
"Aug 30, 2019",71.453,38300,11023.25,Monday
